Attractor_Size,Frequency_Count,Estimated_Probability,AttractorStates_Decimal
1,500161,0.500161,"712"
2,499839,0.499839,"110,184"
1,499839,0.499839,"124"
1,499839,0.499839,"170"
8,499839,0.499839,"41,56,58,109,126,236,252,254"
4,499839,0.499839,"42,168,186,238"
1,499839,0.499839,"832"
9,250142,0.250142,"96,128,320,546,552,576,704,768,776"
2,250019,0.250019,"520,704"
2,62586,0.062586,"800,1600"
1,31522,0.031522,"4076"
1,7968,0.007968,"4078"
1,7954,0.007954,"2026"
1,7734,0.007734,"1962"
1,7728,0.007728,"4014"
4,1997,0.001997,"296,472,684,1702"
