"regulatory.gene","target.gene","weight"
"LOXL2","NRAS",0.201707322434301
"LOXL2","TAGLN",0.195012354352527
"MAPK3","RELA",0.178874003288446
"PIK3CB","AXL",0.163335717380663
"JUN","LOXL2",0.161573176087668
"PIK3CB","NRAS",0.153052910403807
"NRAS","WNT5A",0.152321024493312
"JUN","WNT5A",0.150948233110356
"TAGLN","NFATC1",0.150242719736466
"AXL","MAPK3",0.14834899132518
"TAGLN","JUN",0.147491921418028
"JUN","NRAS",0.146857958503769
"NRAS","MAP2K3",0.146178099094977
"WNT5A","PIK3CB",0.145753295102234
"NRAS","AXL",0.144863930555847
"RELA","MAPK3",0.141395289765604
"MAPK3","WNT5A",0.134022067899517
"JUN","PIK3CB",0.133719203672541
"PIK3CB","RELA",0.128328066340911
"MAPK3","JUN",0.127851537282749
"PIK3CB","ROR2",0.125258755667761
"MAPK3","NFATC1",0.122545417529306
"ROR2","MAP2K3",0.122502585098078
"ROR2","WNT5A",0.120440899040189
"TAGLN","LOXL2",0.119412169980803
"RELA","ROR2",0.118998347017179
"NRAS","RELA",0.11496189642644
"WNT5A","LOXL2",0.113734891018166
"LOXL2","NFATC1",0.113444104829542
"PIK3CB","MAPK3",0.112623693554184
"WNT5A","MAP2K3",0.112190660310556
"LOXL2","MAP2K3",0.11148206834573
"NRAS","TAGLN",0.111038467626499
"NFATC1","RELA",0.109809601888372
"MAP2K3","PIK3CB",0.109652260223496
"ROR2","JUN",0.10851374549677
"NFATC1","MAPK3",0.107103459469186
"NRAS","MAPK3",0.106556349040262
"MAPK3","AXL",0.10598679272416
"MAP2K3","ROR2",0.105494371525775
"JUN","AXL",0.102982677859383
"PIK3CB","MAP2K3",0.102301794370565
"TAGLN","AXL",0.101052439662203
"PIK3CB","TAGLN",0.100745053232243
"WNT5A","TAGLN",0.100630119291503
"LOXL2","PIK3CB",0.0991302547157155
"RELA","PIK3CB",0.0981802268571741
"MAP2K3","JUN",0.096057256829716
"RELA","NFATC1",0.0957883390231258
"LOXL2","JUN",0.0948732996128426
"AXL","TAGLN",0.0948405086820241
"JUN","ROR2",0.0944708639537842
"JUN","RELA",0.0940620097363212
"ROR2","NRAS",0.0916648307579974
"WNT5A","JUN",0.0896893439796619
"LOXL2","AXL",0.0875957844838395
"NFATC1","ROR2",0.0875655995757495
"MAP2K3","RELA",0.0875355066377553
"MAPK3","LOXL2",0.0875272518678285
"NFATC1","LOXL2",0.0874132809158424
"WNT5A","NFATC1",0.0873917632618936
"RELA","LOXL2",0.0868917228541474
"WNT5A","ROR2",0.0866722508136877
"MAP2K3","TAGLN",0.0853244749834357
"NRAS","PIK3CB",0.0852210052715492
"NRAS","LOXL2",0.0847931343006179
"NRAS","JUN",0.0845117597010977
"MAPK3","ROR2",0.0842112953783571
"NRAS","ROR2",0.0823114472988199
"TAGLN","MAP2K3",0.0818890694140006
"ROR2","NFATC1",0.0803763762387546
"MAP2K3","MAPK3",0.0798594073448575
"NRAS","NFATC1",0.0796331228413334
"TAGLN","PIK3CB",0.0795121064868342
"MAPK3","MAP2K3",0.0778005284572189
"WNT5A","NRAS",0.0776536904953958
"LOXL2","ROR2",0.0765852167719372
"MAP2K3","AXL",0.0760159651493244
"MAPK3","PIK3CB",0.0753126913404714
"TAGLN","WNT5A",0.074718077128117
"PIK3CB","WNT5A",0.0747002991487769
"AXL","LOXL2",0.0738359899265584
"RELA","NRAS",0.073445343840506
"RELA","TAGLN",0.0725775658972118
"MAP2K3","NFATC1",0.0710285566650988
"PIK3CB","NFATC1",0.0705294568017281
"ROR2","LOXL2",0.0704060136040737
"AXL","WNT5A",0.0700289940667585
"PIK3CB","JUN",0.0695736533105227
"AXL","ROR2",0.0694851057995896
"MAP2K3","WNT5A",0.0692466272250334
"ROR2","TAGLN",0.0689531822642088
"TAGLN","ROR2",0.0689467461973587
"NFATC1","MAP2K3",0.0684059608054877
"LOXL2","MAPK3",0.0682758588137835
"JUN","MAPK3",0.0680510940356668
"LOXL2","WNT5A",0.0679761217305216
"ROR2","MAPK3",0.0669043161676647
"RELA","JUN",0.0666766852336251
"JUN","NFATC1",0.066002094043162
"AXL","RELA",0.0657829332616245
"JUN","MAP2K3",0.065697848999951
"AXL","NRAS",0.0654317533794355
"WNT5A","RELA",0.0652473943115924
"ROR2","PIK3CB",0.0652087620610477
"AXL","NFATC1",0.0630180490295906
"MAP2K3","LOXL2",0.0629452034301391
"RELA","AXL",0.0621076507892682
"AXL","MAP2K3",0.0611676178905289
"WNT5A","AXL",0.0603889141728334
"NFATC1","JUN",0.0602126888652125
"NFATC1","TAGLN",0.0601118885523354
"NFATC1","PIK3CB",0.0600982193440294
"ROR2","AXL",0.0597347441825957
"JUN","TAGLN",0.0589621074699595
"LOXL2","RELA",0.0580178072764878
"WNT5A","MAPK3",0.0570769125414038
"MAPK3","NRAS",0.0561537942792148
"TAGLN","RELA",0.0557795836301408
"AXL","JUN",0.054548108269775
"MAPK3","TAGLN",0.0518042776480522
"PIK3CB","LOXL2",0.051467166014156
"RELA","MAP2K3",0.0503837672129072
"NFATC1","NRAS",0.0493061380317075
"AXL","PIK3CB",0.048211974924907
"TAGLN","MAPK3",0.0438046279422071
"MAP2K3","NRAS",0.0436861429777734
"RELA","WNT5A",0.0434188253320171
"NFATC1","WNT5A",0.0421788308254027
"ROR2","RELA",0.0416011972019088
"TAGLN","NRAS",0.041040114896093
"NFATC1","AXL",0.0359353830398812
